format,prod,platform,account,followers,date,views,likes,comments,shares,saves,dur,acct_median,multiple,c_per_k,sh_per_k,sv_per_k,caption,url,code
DATARACE,G,tt,hai08a,6972,2026-09-06,60050,1018,14,20,64,120.5,16451,3.65,0.23,0.33,1.07,Most Followed Footballers on Instagram (2014–2026) | UNREAL GAP! [ Part:1 ] See how the world's biggest football stars gained millions of Instagram followers from 2014 to 2026. Watch the incredible rise of legendary play,https://www.tiktok.com/@hai08a/video/7682287413028244758,7682287413028244758
DATARACE,G,ig,teamballvs,35076,2026-09-22,22959,236,4,,,31.0,259627.0,0.09,0.17,,,Ronaldo vs Messi - Goals per Calendar Year #goat  #ronaldo #messi #cristianoronaldo #lionelmessi,https://www.instagram.com/reel/Ddl45N1Mxx6/,Ddl45N1Mxx6
DEBATEVOX,F,tt,goalfanzone,439352,2026-09-16,361294,35038,268,409,1148,28.1,37149.0,9.73,0.74,1.13,3.18,Is Lionel Messi STILL the best footballer in the world? 🐐 #football #messi #premierleague #ChampionsLeague #soccer,https://www.tiktok.com/@goalfanzone/video/7686090069282721046,7686090069282721046
DEBATEVOX,F,ig,goalfanzone,75390,2026-09-16,211055,17004,171,,,28.0,37886.5,5.57,0.81,,,Is Lionel Messi STILL the best footballer in the world? 🐐  #football #messi #premierleague #championsleague #soccer,https://www.instagram.com/reel/DdWJloRIdx1/,DdWJloRIdx1
DEBATEVOX,F,tt,goalfanzone,439352,2026-09-15,122993,9876,205,124,395,15.8,37149.0,3.31,1.67,1.01,3.21,Will Kylian Mbappe ever win the Ballon d'Or? 🏆 #football #ballondor #laliga #premierleague #soccer,https://www.tiktok.com/@goalfanzone/video/7685762873464753430,7685762873464753430
DEBATEVOX,F,tt,goalfanzone,439352,2026-09-17,70476,10205,235,66,447,261.9,37149.0,1.9,3.33,0.94,6.34,"Was Bale, Benzema, Cristiano Ronaldo really better than Messi, Suarez, Neymar? 🔥 Watch the full video on our YouTube channel! 💛 #football #laliga #realmadrid #ChampionsLeague #soccer",https://www.tiktok.com/@goalfanzone/video/7686530460926741782,7686530460926741782
DEBATEVOX,F,tt,goalfanzone,439352,2026-09-19,65995,3940,153,75,152,23.1,37149.0,1.78,2.32,1.14,2.3,Tottenham vs Aston Villa: Who has the better team? ⚔️ #football #premierleague #coys #avfc #soccer,https://www.tiktok.com/@goalfanzone/video/7686835887073692950,7686835887073692950
DEBATEVOX,F,tt,goalfanzone,439352,2026-09-20,59798,4015,88,132,222,14.9,37149.0,1.61,1.47,2.21,3.71,How long will it take for Manchester United to win the Premier League title again? 🏆 #football #premierleague #manchesterunited #mufc #soccer,https://www.tiktok.com/@goalfanzone/video/7686839646130687254,7686839646130687254
DEBATEVOX,F,ig,goalfanzone,75390,2026-09-17,46456,1249,140,,,17.9,37886.5,1.23,3.01,,,Is Dani Carvajal just Gary Neville with a beard? 🤨  #football #premierleague #laliga #mufc #realmadrid,https://www.instagram.com/reel/DdZDdRWIsqd/,DdZDdRWIsqd
DEBATEVOX,F,ig,goalfanzone,75390,2026-09-19,44051,832,42,,,23.1,37886.5,1.16,0.95,,,Tottenham vs Aston Villa: Who has the better team? ⚔️  #football #premierleague #coys #avfc #soccer,https://www.instagram.com/reel/Dddo8F7qcxR/,Dddo8F7qcxR
DEBATEVOX,F,tt,goalfanzone,439352,2026-09-17,43583,2811,104,14,103,17.9,37149.0,1.17,2.39,0.32,2.36,Is Dani Carvajal just Gary Neville with a beard? 🤨 #football #premierleague #laliga #mufc #realmadrid,https://www.tiktok.com/@goalfanzone/video/7686508545935805718,7686508545935805718
DEBATEVOX,F,ig,goalfanzone,75390,2026-09-20,43503,538,9,,,22.5,37886.5,1.15,0.21,,,Will Real Madrid regret missing out on Rodri? 😳  Watch the full video on our YouTube channel! 💛  #football #laliga #realmadrid #premierleague #soccer,https://www.instagram.com/reel/DdgNp4mqjre/,DdgNp4mqjre
DEBATEVOX,F,tt,goalfanzone,439352,2026-09-18,40798,2830,84,18,97,224.3,37149.0,1.1,2.06,0.44,2.38,"Enzo Maresca, Michael Carrick or Andoni Iraola... who has the best manager? 🤔 Watch the full video on our YouTube channel! 💛 #football #fanzone #premierleague #soccer",https://www.tiktok.com/@goalfanzone/video/7686897535537155330,7686897535537155330
DEBATEVOX,F,tt,goalfanzone,439352,2026-09-15,39843,5014,94,34,173,336.5,37149.0,1.07,2.36,0.85,4.34,Would Vini Jr have been the best player in the Premier League if he went to Arsenal? 🔥 #football #realmadrid #arsenal #vinijr #transfers,https://www.tiktok.com/@goalfanzone/video/7685790673429073174,7685790673429073174
DEBATEVOX,F,ig,goalfanzone,75390,2026-09-16,36402,1843,148,,,18.4,37886.5,0.96,4.07,,,Is Thibaut Courtois one of the GOAT goalkeepers in football history? 🧤  #football #realmadrid #laliga #championsleague #soccer,https://www.instagram.com/reel/DdWc5VoIsUm/,DdWc5VoIsUm
DEBATEVOX,F,tt,goalfanzone,439352,2026-09-17,34455,2741,37,28,121,18.4,37149.0,0.93,1.07,0.81,3.51,Do Crystal Palace fans still love Wilfried Zaha more than Michael Olise and Eberechi Eze? 🥺 #football #crystalpalace #cpfc #premierleague #soccer,https://www.tiktok.com/@goalfanzone/video/7686457318183095574,7686457318183095574
DEBATEVOX,F,ig,goalfanzone,75390,2026-09-17,25325,455,8,,,18.4,37886.5,0.67,0.32,,,Do Crystal Palace fans still love Wilfried Zaha more than Michael Olise and Eberechi Eze? 🥺  #football #crystalpalace #cpfc #premierleague #soccer,https://www.instagram.com/reel/DdYsrncoww6/,DdYsrncoww6
DEBATEVOX,F,ig,goalfanzone,75390,2026-09-20,23944,507,24,,,14.9,37886.5,0.63,1.0,,,How long will it take for Manchester United to win the Premier League title again? 🏆  #football #premierleague #manchesterunited #mufc #soccer,https://www.instagram.com/reel/DdgiRpaqe48/,DdgiRpaqe48
DEBATEVOX,F,tt,goalfanzone,439352,2026-09-15,20343,1847,33,5,67,15.4,37149.0,0.55,1.62,0.25,3.29,"Would Morgan Rogers start for Arsenal, would Dominik Szoboszlai start for Chelsea and more 👀 #football #premierleague #transfers #soccer",https://www.tiktok.com/@goalfanzone/video/7685728130262158614,7685728130262158614
EXPLAINER,G,ig,offside_brain,35029,2026-08-11,329826,9516,25,481,,37.3,40990.0,8.05,0.08,1.46,,"⏱️ Extra Time or ➕ Injury Time?  🎯 Penalty Shootout or ⚽ Penalty?  🤝 Draw or 🥱 Stalemate?  They might sound similar, but every football fan should know the difference. ⚽🔥  Which one did you used to get confused between? ",https://www.instagram.com/reel/Db6I8XsuqRL/,Db6I8XsuqRL
EXPLAINER,G,ig,offside_brain,35029,2026-08-24,265927,12924,65,,,48.7,40990.0,6.49,0.24,,,"🆓 Bosman Ruling or 💰 Financial Fair Play?  🇪🇸 El Clásico or 🇦🇷 Superclásico?  🏆 Ballon d'Or or 🏅 The Best FIFA?  Football is full of iconic rivalries, rules and awards—but they aren't the same. ⚽🔥  And be honest… Rodri o",https://www.instagram.com/reel/Dcbkx2HOq1x/,Dcbkx2HOq1x
EXPLAINER,G,ig,difference.decoder,1960,2026-08-12,150797,7263,110,429,,42.5,14898,10.12,0.73,2.84,,The rarest trophy in the history of football! 🛑⚽️ Ballon d'Or or Super Ballon d'Or. Stop confusing these two! Let me know your favorite football legend in the comments! 👇 #BallonDor #SuperBallonDor #DifferenceDecoder #Fo,https://www.instagram.com/reel/Db8avt0BHZB/,Db8avt0BHZB
EXPLAINER,G,ig,difference.decoder,1960,2026-09-19,104109,8294,286,,,36.6,14898,6.99,2.75,,,Stop pretending El Clásico was about tactics! 🛑⚽ Barcelona or Real Madrid. Stop confusing the strategies! Let me know your favorite player in the comments! 👇 #FootballMemes #RealMadrid #FCBarcelona #ElClasico #Messi Cris,https://www.instagram.com/reel/DdeUvIOh7wL/,DdeUvIOh7wL
EXPLAINER,G,ig,difference.decoder,1960,2026-09-03,73279,2482,3,,,25.6,14898,4.92,0.04,,,Stop comparing these wingers the wrong way! 🛑⚽ Traditional Winger or Inside Forward. Stop confusing their jobs! Let me know your favorite winger in the comments! 👇 #FootballTactics #CristianoRonaldo #DavidBeckham #Winger,https://www.instagram.com/reel/Dc0rKlStduc/,Dc0rKlStduc
EXPLAINER,G,ig,offside_brain,35029,2026-08-22,46893,1662,0,,,41.5,40990.0,1.14,0.0,,,🆕 New Signing or 🧩 Squad Player?  📈 Hype or 🤝 Trust?  💥 Statement Signing or 🧠 Squad Depth Signing?  Not every player is signed to be the superstar. Some are brought in to change the team—others to quietly make it strong,https://www.instagram.com/reel/DcWfI1nOaNb/,DcWfI1nOaNb
EXPLAINER,G,ig,offside_brain,35029,2026-08-26,42471,1709,9,,,47.0,40990.0,1.04,0.21,,,🏆 League or 🥊 Cup?  🟣 Conference League or 🟠 Europa League?  🇩🇪 Bundesliga or 🇮🇹 Serie A?  Different competitions. Different formats. Different football cultures. ⚽🔥  Which one are you watching the most this season? 👇  #,https://www.instagram.com/reel/Dcg1_kouzB2/,Dcg1_kouzB2
EXPLAINER,G,ig,offside_brain,35029,2026-08-16,39509,933,2,,,41.5,40990.0,0.96,0.05,,,🥅 Own Goal or 🌀 Deflection?  😭 Embarrassing or 🍀 Unlucky?  🧤 Howler or 🔄 Ricochet?  Some goals are skill. Some are pure chaos. 😂⚽  Which one would hurt the most if it happened to your team? 👇  #fifa26 #messi #ronaldo #fo,https://www.instagram.com/reel/DcHDZAbu7uc/,DcHDZAbu7uc
EXPLAINER,G,ig,offside_brain,35029,2026-08-13,38042,1896,4,,,34.1,40990.0,0.93,0.11,,,💰 Transfer or 🔄 Loan?  🆓 Free Agent or 🚪 Released Player?  📜 Release Clause or 💷 Transfer Fee?  Millions change hands in football - but do you actually know what these terms mean? ⚽🔥  Which one did you learn something ne,https://www.instagram.com/reel/Db_PKEYOFVv/,Db_PKEYOFVv
EXPLAINER,G,ig,difference.decoder,1960,2026-09-13,29982,1234,98,,,27.1,14898,2.01,3.27,,,"The Ultimate Entertainer vs The Goal Machine! 🪄 🆚 🤖 This is Neymar, this is Lewandowski. What’s the REAL difference? Who ranks higher on your all-time list? Drop your thoughts below! 👇 #FootballDebate #NeymarJr #Lewandow",https://www.instagram.com/reel/DdOq-8gh3If/,DdOq-8gh3If
HOTTAKE,F,tt,midetalksfootball,29181,2026-08-29,3861822,402989,21193,60656,21892,34.8,,,5.49,15.71,5.67,We All Know Who Would’ve Scored That...........................Lewandowski showed some serious selflessness here. But let's be honest... if you watched that clip and immediately thought of one specific player who would'v,https://www.tiktok.com/@midetalksfootball/video/7679460098099432726,7679460098099432726
HOTTAKE,F,ig,pharaohtalkss,153390,2026-09-14,2358651,297819,3537,,,69.8,11089.5,212.69,1.5,,,The End 🥶   #soccer #argentina🇦🇷 #messi #football #cr7,https://www.instagram.com/reel/DdQELbvuTu8/,DdQELbvuTu8
HOTTAKE,F,ig,harrikanot,122569,2026-08-26,1742429,21514,65,2465,,11.3,18181.0,95.84,0.04,1.41,,Man City selling their BEST players now👀😮‍💨😱 Rate this Transfer Window 1-10⁉️  #mancity #manchestercity #footballnews #footballmemes #rodri,https://www.instagram.com/reel/Dcf7NN1Ma1C/,Dcf7NN1Ma1C
HOTTAKE,F,ig,pharaohtalkss,153390,2026-08-08,1021386,46498,1742,385,,39.8,11089.5,92.1,1.71,0.38,,Name the missing player 🤔?   #soccer #futbol #soccerreels #footy #explore,https://www.instagram.com/reel/DbysFiasX0z/,DbysFiasX0z
HOTTAKE,F,tt,sportgrid,27986,2026-09-13,784519,50663,471,272,2399,61.0,34017,23.06,0.6,0.35,3.06,Vinicius Jr over Raphinha!? 🤯👀 #realmadrid #barcelona #arsenal #football #Soccer ,https://www.tiktok.com/@sportgrid/video/7685077642495659286,7685077642495659286
HOTTAKE,F,ig,celine.dept,,2026-09-04,729715,35054,1323,2184,,31.9,,,1.81,2.99,,Who will win the Ballon d'Or? 😳,https://www.instagram.com/reel/Dc3iysxshGJ/,Dc3iysxshGJ
HOTTAKE,F,tt,midetalksfootball,29181,2026-09-06,540049,92030,1741,5714,5455,107.6,,,3.22,10.58,10.1,"The 2026 Ballon d’Or Race Is Almost Impossible to Call......................This might be one of the most open Ballon d’Or races in recent history. Dembélé, Kvaratskhelia, Yamal, Mbappé and Kane all have a serious case, ",https://www.tiktok.com/@midetalksfootball/video/7682413064909491478,7682413064909491478
HOTTAKE,F,ig,harrikanot,122569,2026-08-20,502520,16108,52,358,,52,18181.0,27.64,0.1,0.71,,adidas Touch and Pass Challenge😱🔥⁉️ Which player & Football Boots did better? 👀✅  Pick your side. Make your Choice. F50 or Predator. Choose One.  #footballchallenge #createdwithadidas #f50 #predator #footballskills,https://www.instagram.com/reel/DcQ7bI1MYA-/,DcQ7bI1MYA-
HOTTAKE,F,ig,sportgridgram,4994,2026-09-13,500694,19915,301,,,61.0,6889.5,72.67,0.6,,,Vinicius Jr over Raphinha!? 🤯👀  #realmadrid #barcelona #arsenal #football #soccer,https://www.instagram.com/reel/DdPIa5mKHJH/,DdPIa5mKHJH
HOTTAKE,F,ig,midetalksfootball,,2026-09-15,372161,35492,521,26085,,96.5,,,1.4,70.09,,"Mbappé Is Getting Too Much Ballon d’Or Hype......................I genuinely don’t think the gap between Mbappé and Haaland this season is as big as the Ballon d’Or conversation makes it seem. Mbappé has better numbers, ",https://www.instagram.com/reel/DdTdOiVijFW/,DdTdOiVijFW
HOTTAKE,F,tt,sportbible,6333876,2026-08-28,325247,4952,310,73,231,70.0,,,0.95,0.22,0.71,"🗣️ ""I'm glad I left 10 free!"" 😂 Michael Owen blind ranks Premier League League strikers ⚽🤩 #sportbible #PremierLeague #michaelowen #striker #football ",https://www.tiktok.com/@sportbible/video/7679107304947502368,7679107304947502368
HOTTAKE,F,tt,midetalksfootball,29181,2026-09-06,236201,39400,1293,3617,4758,130.9,,,5.47,15.31,20.14,"Ronaldo Dominated Messi in Spain!!!!!!!............Ronaldo was absolutely ridiculous in Spain. But saying he dominated Messi is a completely different argument. Goals, assists, goal contributions, trophies and individual",https://www.tiktok.com/@midetalksfootball/video/7682363537439690006,7682363537439690006
HOTTAKE,F,tt,high_performance,326954,2026-08-29,235648,10537,215,147,410,20.6,,,0.91,0.62,1.74,Michael Owen blind ranks Ballon d'Or winners 🏆 Do you agree with his choices... what changes would you make? 👀 #lfc #football ##highperformance #realmadrid,https://www.tiktok.com/@high_performance/video/7679109090710129942,7679109090710129942
HOTTAKE,F,tt,sportgrid,27986,2026-09-10,159703,4237,65,118,168,86.5,34017,4.69,0.41,0.74,1.05,Only 10% of Manchester United fans can name the last player!? 🤯👀 #manchesterunited #manunited #rashford #football #Soccer ,https://www.tiktok.com/@sportgrid/video/7683927624535543062,7683927624535543062
HOTTAKE,F,ig,harrikanot,122569,2026-09-20,154569,16362,58,,,8.5,18181.0,8.5,0.38,,,ENZO FERNANDEZ FREEKICK GOAL VS SUNDERLAND😱🔥🚀 Rate this goal 1-10👀😍 #enzofernandez #mancity #footballhighlights #manchestercity #premierleague,https://www.instagram.com/reel/DdgrO0dsSzH/,DdgrO0dsSzH
HOTTAKE,F,ig,frontthree_,156696,2026-09-21,119042,3834,49,,,42.2,86657,1.37,0.41,,,Fixing Rashford’s FC 27 Card 🤯🔥  #frontthree #soccer #football #fc27,https://www.instagram.com/reel/DdjiRDVqT-0/,DdjiRDVqT-0
HOTTAKE,F,ig,thatballerjulian,,2026-08-22,109210,10450,331,1019,,132.7,,,3.03,9.33,,Bro is DELUSIONAL😂😂! #messi #kane #fyp #viralpost❤️ #blowthisupforme,https://www.instagram.com/reel/DcWwo7pBiod/,DcWwo7pBiod
HOTTAKE,F,ig,harrikanot,122569,2026-09-20,95694,1208,11,,,10.7,18181.0,5.26,0.11,,,EVERY RONALDO CARD IN FIFA/ EAFC😱🇵🇹🥀 #eafc #fc27 #cr7 #ronaldo #ultimateteam,https://www.instagram.com/reel/DdgjvMtM7dI/,DdgjvMtM7dI
HOTTAKE,F,ig,frontthree_,156696,2026-09-18,63879,211,1,,,54.6,86657,0.74,0.02,,,INVESTING IN THIS SECRET PLAYER WAS THE BEST MOVE 🔥  #football #soccer #fronthree #ballybet #ad,https://www.instagram.com/reel/DdbmaIoOb58/,DdbmaIoOb58
HOTTAKE,F,ig,frontthree_,156696,2026-09-19,63769,298,3,,,90.6,86657,0.74,0.05,,,THE CRAZIEST INVESTMENT YOU WILL SEE 🤯  #football #soccer #fronthree #ballybet #ad,https://www.instagram.com/reel/Ddd2lvauaO4/,Ddd2lvauaO4
HOTTAKE,F,tt,realthinker615,48681,2026-09-21,54688,4280,451,22,440,17,1501.5,36.42,8.25,0.4,8.05,Which player has this career path 🤷🤷🤷🤷🤷🤷🤷🤷🤷🤷🤷🤷🤷🤷🤷🤷🤷🤷🤷🤷🤷🤷🤷🤷🤷#fypシ゚viral🖤tiktok☆♡🦋myvideo❤️❤️🥰🥰viral #fypシ゚viral🖤tiktok #FootballTikTok #viraltiktok @𝑹𝒆𝒂𝒍🕷️𝑻𝒉𝒊𝒏𝒌𝒆𝒓🧠BKP @𝑀𝑖𝑛𝑖𝑚𝑢𝑚 @PӨᄃKΣƬ 🎮 @𝐏𝐞𝐚𝐜𝐞𝐦𝐚𝐧 🌟 @ÃJ_🎾 @YARK ❤️❤️🫶 @ᐯᗩᖇ ,https://www.tiktok.com/@realthinker615/video/7688017379674049810,7688017379674049810
HOTTAKE,F,ig,pedtalkssports,,2026-09-14,44646,3506,184,2903,,109.3,,,4.12,65.02,,Goals Don’t Make You The Best Player #BallonDor #Mbappe #KylianMbappe #Rodri #LamineYamal #RealMadrid #Barcelona #LaLiga #ChampionsLeague #WorldCup #Football #Soccer #FootballDebate #FootballShorts #YouTubeShorts #Shorts,https://www.instagram.com/reel/DdQRsoyDksH/,DdQRsoyDksH
HOTTAKE,F,ig,frontthree_,156696,2026-09-22,37442,1444,17,,,44.7,86657,0.43,0.45,,,FIXING BRUNO FERNANDES’S FC27 CARD 🔥   #soccer #frontthree #football,https://www.instagram.com/reel/Ddl5pDoO-sj/,Ddl5pDoO-sj
HOTTAKE,F,tt,sportgrid,27986,2026-09-20,34017,1593,18,16,58,62.7,34017,1.0,0.53,0.47,1.71,Only 10% of football fans can name the last Premier League footballer!? 🤯👀 #PremierLeague #haaland #mancity #football #Soccer ,https://www.tiktok.com/@sportgrid/video/7687609235554798881,7687609235554798881
HOTTAKE,F,ig,corrado,,2026-08-22,31758,948,186,73,,39.7,,,5.86,2.3,,"What’s YOUR pick? 👇  He said Lamine Yamal is BETTER than Mbappé?! 😳❌  Is Lamine Yamal already better than these world-class superstars and legends? 😳⚽  We put his football knowledge to the test, and some of these takes a",https://www.instagram.com/reel/DcWwZQhPNcK/,DcWwZQhPNcK
HOTTAKE,F,ig,pharaohtalkss,153390,2026-09-14,27510,1700,102,,,85.6,11089.5,2.48,3.71,,,Which player had a better ballon dor season 🤔?  #ballondor #messi #soccer #futbol #cr7,https://www.instagram.com/reel/DdSNlFOOipc/,DdSNlFOOipc
HOTTAKE,F,ig,pharaohtalkss,153390,2026-09-21,25535,3,12,,,13.5,11089.5,2.3,0.47,,,@paulpogba 🐐  #soccer #futbol #pogba #soccerreels #footy,https://www.instagram.com/reel/DdijcKzx3S4/,DdijcKzx3S4
HOTTAKE,F,ig,pharaohtalkss,153390,2026-09-20,24255,3,18,,,66.4,11089.5,2.19,0.74,,,Start bench sell 🤔?   #soccer #futbol #soccerreels #footy #explore,https://www.instagram.com/reel/DdhaAfIMHWT/,DdhaAfIMHWT
HOTTAKE,F,ig,harrikanot,122569,2026-09-22,21596,363,10,,,15.7,18181.0,1.19,0.46,,,PACKING HEUNG MIN SON in EVERY EAFC/ FIFA😭🇰🇷🐐❤️ Best Asian Player EVER? 👀🥹 #heungminson #sonheungmin #eafc #fc27 #ultimateteam,https://www.instagram.com/reel/DdlhSInML6s/,DdlhSInML6s
HOTTAKE,F,ig,harrikanot,122569,2026-09-22,21027,628,223,,,65.2,18181.0,1.16,10.61,,,Current Arsenal vs All Time La Liga😱🥀🙌 Rate his ball knowledge🧠😮‍💨⚽️  #arsenal #barca #realmadrid #footballfans #interview,https://www.instagram.com/reel/DdlvuzYMAma/,DdlvuzYMAma
IMPOSTER,G,tt,goalflash0,15834,2026-08-28,1031507,44106,706,15798,2442,61.7,10794.5,95.56,0.68,15.32,2.37,⚽️ Show me your intelligence! Can you spot the imposter that HAS played for Atletico Madrid? 🏆 Comment your answer below! 👇 #football #footballquiz #guesstheplayer #atleticomadrid #mancity ,https://www.tiktok.com/@goalflash0/video/7679147816249232673,7679147816249232673
IMPOSTER,G,tt,goalflash0,15834,2026-09-02,896740,46499,609,12805,2424,60.5,10794.5,83.07,0.68,14.28,2.7,⚽️ Show me your intelligence! Can you spot the imposter that HAS played for PSG? 🏆 Comment your answer below! 👇 #football #footballquiz #guesstheplayer #psg #realmadrid ,https://www.tiktok.com/@goalflash0/video/7681032215421095200,7681032215421095200
IMPOSTER,G,tt,goalflash0,15834,2026-08-26,496169,13749,228,5438,699,72.4,10794.5,45.96,0.46,10.96,1.41,⚽️ Show me your intelligence! Can you spot the imposter that HAS played for Liverpool? 🏆 Comment your answer below! 👇 #football #footballquiz #guesstheplayer #liverpool #chelsea  ,https://www.tiktok.com/@goalflash0/video/7678411555742043425,7678411555742043425
IMPOSTER,G,tt,quizfoot03,12792,2026-09-20,384552,28175,408,2498,1684,65.1,,,1.06,6.5,4.38,Lequel de ces joueurs est un imposteur ? ⚽️🔥 #quiz #football #francetiktok ,https://www.tiktok.com/@quizfoot03/video/7687650367550573856,7687650367550573856
IMPOSTER,G,tt,goalflash0,15831,2026-09-19,362945,8628,347,6305,692,64.3,10794.5,33.62,0.96,17.37,1.91,⚽️ Show me your intelligence! Can you spot the legend that HAS played for FC Barcelona? 🏆 Visit quizball.io link in bio! 👇 #football #footballquiz #guesstheplayer #quizball #juventus ,https://www.tiktok.com/@goalflash0/video/7687299616131321120,7687299616131321120
IMPOSTER,G,tt,goalflash0,15834,2026-09-17,257515,3628,66,2043,255,63.7,10794.5,23.86,0.26,7.93,0.99,⚽️ Show me your intelligence! Can you spot the legend that HAS played for Manchester United? 🏆 Visit quizball.io link in bio! 👇 #football #footballquiz #guesstheplayer #quizball #psg ,https://www.tiktok.com/@goalflash0/video/7686557900801756448,7686557900801756448
IMPOSTER,G,tt,goalflash0,15834,2026-09-16,147279,2526,120,2468,213,64.9,10794.5,13.64,0.81,16.76,1.45,⚽️ Show me your intelligence! Can you spot the legend that HAS played for Arsenal? 🏆 Visit quizball.io link in bio! 👇 #football #footballquiz #guesstheplayer #quizball #manchesterunited ,https://www.tiktok.com/@goalflash0/video/7686193400072162592,7686193400072162592
IMPOSTER,G,tt,goalflash0,15834,2026-08-30,64774,1251,79,1163,197,63.1,10794.5,6.0,1.22,17.95,3.04,⚽️ Show me your intelligence! Can you spot the imposter that HAS played for Chelsea FC? 🏆 Comment your answer below! 👇 #football #footballquiz #guesstheplayer #chelsea #arsenal ,https://www.tiktok.com/@goalflash0/video/7679905188978625824,7679905188978625824
IMPOSTER,G,tt,goalflash0,15834,2026-09-21,35782,634,35,697,77,64.9,10794.5,3.31,0.98,19.48,2.15,⚽️ Show me your intelligence! Can you spot the legend that HAS played for PSG? 🏆 Visit quizball.io link in bio! 👇 #football #footballquiz #guesstheplayer #quizball #realmadrid ,https://www.tiktok.com/@goalflash0/video/7688043530408758561,7688043530408758561
IMPOSTER,G,tt,goalflash0,15834,2026-09-13,27643,548,41,406,52,64.6,10794.5,2.56,1.48,14.69,1.88,⚽️ Show me your intelligence! Can you spot the legend that HAS played for AC Milan? 🏆 Visit quizball.io link in bio! 👇 #football #footballquiz #guesstheplayer #quizball #realmadrid ,https://www.tiktok.com/@goalflash0/video/7685074047595449632,7685074047595449632
IMPOSTER,G,tt,goalflash0,15834,2026-09-07,25932,346,21,782,38,62.8,10794.5,2.4,0.81,30.16,1.47,⚽️ Show me your intelligence! Can you spot the imposter that HAS played for PSV Eindhoven? 🏆 Visit quizball.io link in bio! 👇 #football #footballquiz #guesstheplayer #quizball #barcelona ,https://www.tiktok.com/@goalflash0/video/7682844545733758241,7682844545733758241
IMPOSTER,G,tt,goalflash0,15834,2026-09-12,25468,373,20,502,46,63.8,10794.5,2.36,0.79,19.71,1.81,⚽️ Show me your intelligence! Can you spot the legend that HAS played for AC Milan? 🏆 Visit quizball.io link in bio! 👇 #football #footballquiz #guesstheplayer #quizball #realmadrid ,https://www.tiktok.com/@goalflash0/video/7684719952045083936,7684719952045083936
IMPOSTER,G,tt,goalflash0,15834,2026-09-18,20323,253,10,243,33,62.5,10794.5,1.88,0.49,11.96,1.62,⚽️ Show me your intelligence! Can you spot the legend that HAS played for Real Madrid? 🏆 Visit quizball.io link in bio! 👇 #football #footballquiz #guesstheplayer #quizball #arsenal ,https://www.tiktok.com/@goalflash0/video/7686929653830929696,7686929653830929696
IMPOSTER,G,tt,goalflash0,15834,2026-09-15,20219,385,13,217,34,61.9,10794.5,1.87,0.64,10.73,1.68,⚽️ Show me your intelligence! Can you spot the legend that HAS played for Liverpool FC? 🏆 Visit quizball.io link in bio! 👇 #football #footballquiz #guesstheplayer #quizball #realmadrid ,https://www.tiktok.com/@goalflash0/video/7685823157822836001,7685823157822836001
LADDER,F,tt,jackdurkin2,29278,2026-09-17,1702969,73926,641,1185,6721,66.2,204405.5,8.33,0.38,0.7,3.95,NAME EVERY PREMIER LEAGUE CLUBS NICKNAME! 👀🤣 Some of these guesses were great 😭 #PremierLeague #nicknames #fyp #footballtiktok ,https://www.tiktok.com/@jackdurkin2/video/7686545665853246742,7686545665853246742
LADDER,F,tt,ollieandai,10697,2026-08-31,1456874,82080,462,1829,3845,172.1,,,0.32,1.26,2.64,ChatGPT tried to be a comedian at the end. Guess the Football Club with ChatGPT - Macclesfield vs Torino #ChatGPT #macclesfield #torinofc #guessthefootballteam #football,https://www.tiktok.com/@ollieandai/video/7680312672570707222,7680312672570707222
LADDER,F,tt,twoplayfun,6652,2026-09-20,1260579,64187,3258,8583,3555,25.7,4476,281.63,2.58,6.81,2.82,Football Player Guessing Challenge! ⚽🍗 #FootballChallenge  #GuessThePlayer #FootballQuiz #CoupleChallenge,https://www.tiktok.com/@twoplayfun/video/7687562785638583559,7687562785638583559
LADDER,F,tt,jackdurkin2,29277,2026-09-18,872811,37840,510,2719,2376,144,204405.5,4.27,0.58,3.12,2.72,GUESS THE EX LIVERPOOL FOOTBALLER! 🔴⚽️ No words needed… #premierleague #liverpoolfc #lfc #ynwa #fyp ,https://www.tiktok.com/@jackdurkin2/video/7686938517351451926,7686938517351451926
LADDER,F,tt,jackdurkin2,29278,2026-09-12,752537,20696,203,1016,1290,136.9,204405.5,3.68,0.27,1.35,1.71,NAME THE EX MANCHESTER UNITED FOOTBALLER PART 3! 👹😮‍💨 What a top fella! 🤣 #manchesterunited #mufc #ggmu #PremierLeague #fyp ,https://www.tiktok.com/@jackdurkin2/video/7684577810471505174,7684577810471505174
LADDER,F,ig,playfootex,,2026-09-05,658406,8015,146,403,,105.7,,,0.22,0.61,,Can you name these footballers? #footballtrivia #footballgames #footballfans #football #footballgame,https://www.instagram.com/reel/Dc5fVRlIDVp/,Dc5fVRlIDVp
LADDER,F,tt,footexclips,12482,2026-09-12,657512,23573,306,204,1021,155.8,,,0.47,0.31,1.55,Can you name these footballers? #footballtiktok #footballfans #footballtrivia ,https://www.tiktok.com/@footexclips/video/7684601100837735712,7684601100837735712
