format,prod,platform,account,followers,date,views,likes,comments,shares,saves,dur,acct_median,multiple,c_per_k,sh_per_k,sv_per_k,caption,url,code
TIERLIST,G,ig,ball.otaku,765395,2026-09-19,87592,1072,152,,,8.0,33154,2.64,1.74,,,"🥶⚽ | 𝐖𝐇𝐀𝐓 𝐀𝐂𝐓𝐔𝐀𝐋𝐋𝐘 𝐌𝐀𝐊𝐄𝐒 𝐀 𝐅𝐎𝐎𝐓𝐁𝐀𝐋𝐋𝐄𝐑 𝐀𝐍 𝐄𝐋𝐈𝐓𝐄 𝐅𝐈𝐍𝐈𝐒𝐇𝐄𝐑?  𝐆𝐨𝐚𝐥𝐬 𝐚𝐫𝐞 𝐭𝐡𝐞 𝐨𝐛𝐯𝐢𝐨𝐮𝐬 𝐩𝐥𝐚𝐜𝐞 𝐭𝐨 𝐬𝐭𝐚𝐫𝐭, 𝐛𝐮𝐭 𝐭𝐡𝐞 𝐜𝐨𝐥𝐝𝐞𝐬𝐭 𝐟𝐢𝐧𝐢𝐬𝐡𝐞𝐫𝐬 𝐢𝐧 𝐟𝐨𝐨𝐭𝐛𝐚𝐥𝐥 𝐡𝐢𝐬𝐭𝐨𝐫𝐲 𝐰𝐞𝐫𝐞 𝐧𝐞𝐯𝐞𝐫 𝐣𝐮𝐬𝐭 𝐠𝐨𝐨𝐝 𝐚𝐭 𝐬𝐡𝐨𝐨𝐭𝐢𝐧𝐠.  𝐏𝐥𝐚𝐲𝐞𝐫𝐬 𝐥𝐢𝐤𝐞 𝐓𝐡𝐢𝐞𝐫𝐫𝐲 𝐇𝐞𝐧𝐫𝐲, 𝐑𝐨𝐧𝐚𝐥𝐝𝐨 𝐍𝐚𝐳𝐚́𝐫𝐢",https://www.instagram.com/reel/DdeCP7ruq1F/,DdeCP7ruq1F
TIERLIST,G,ig,ball.otaku,765395,2026-09-18,53838,2280,20,,,32.6,33154,1.62,0.37,,,"🏆👀 | 𝐖𝐇𝐎 𝐖𝐈𝐋𝐋 𝐖𝐈𝐍 𝐓𝐇𝐄 𝐁𝐀𝐋𝐋𝐎𝐍 𝐃’𝐎𝐑?  𝐊𝐘𝐋𝐈𝐀𝐍 𝐌𝐁𝐀𝐏𝐏É 𝐀𝐍𝐃 𝐋𝐀𝐌𝐈𝐍𝐄 𝐘𝐀𝐌𝐀𝐋 𝐀𝐑𝐄 𝐃𝐎𝐌𝐈𝐍𝐀𝐓𝐈𝐍𝐆 𝐓𝐇𝐄 𝐂𝐎𝐍𝐕𝐄𝐑𝐒𝐀𝐓𝐈𝐎𝐍, 𝐁𝐔𝐓 𝐇𝐀𝐑𝐑𝐘 𝐊𝐀𝐍𝐄 𝐇𝐀𝐒 𝐓𝐇𝐄 𝐍𝐔𝐌𝐁𝐄𝐑𝐒 𝐓𝐎 𝐁𝐄𝐀𝐓 𝐓𝐇𝐄𝐌 𝐁𝐎𝐓𝐇.  𝐌𝐁𝐀𝐏𝐏É 𝐇𝐀𝐒 𝐓𝐇𝐄 𝐆𝐎𝐀𝐋𝐒 𝐀𝐍𝐃 𝐒𝐓𝐀𝐑 𝐏𝐎𝐖𝐄𝐑. 𝐘𝐀𝐌𝐀𝐋 𝐇𝐀𝐒 𝐓𝐇𝐄 𝐌𝐀𝐆𝐈𝐂 𝐀𝐍𝐃 𝐓𝐇𝐄 𝐒𝐓𝐎𝐑",https://www.instagram.com/reel/Ddb0UVjt1zo/,Ddb0UVjt1zo
TIERLIST,G,ig,ball.otaku,765395,2026-09-19,25742,211,15,,,8.0,33154,0.78,0.58,,,"⚡⚽ | 𝐖𝐇𝐘 𝐀𝐑𝐄 𝐒𝐎𝐌𝐄 𝐅𝐎𝐎𝐓𝐁𝐀𝐋𝐋𝐄𝐑𝐒 𝐀 𝐍𝐈𝐆𝐇𝐓𝐌𝐀𝐑𝐄 𝐀𝐆𝐀𝐈𝐍𝐒𝐓 𝐀 𝐇𝐈𝐆𝐇 𝐃𝐄𝐅𝐄𝐍𝐒𝐈𝐕𝐄 𝐋𝐈𝐍𝐄?  𝐏𝐚𝐜𝐞 𝐢𝐬 𝐭𝐡𝐞 𝐟𝐢𝐫𝐬𝐭 𝐭𝐡𝐢𝐧𝐠 𝐦𝐨𝐬𝐭 𝐟𝐚𝐧𝐬 𝐭𝐡𝐢𝐧𝐤 𝐨𝐟, 𝐛𝐮𝐭 𝐩𝐮𝐧𝐢𝐬𝐡𝐢𝐧𝐠 𝐚 𝐡𝐢𝐠𝐡 𝐥𝐢𝐧𝐞 𝐢𝐬 𝐚𝐬 𝐦𝐮𝐜𝐡 𝐚𝐛𝐨𝐮𝐭 𝐢𝐧𝐭𝐞𝐥𝐥𝐢𝐠𝐞𝐧𝐜𝐞 𝐚𝐬 𝐢𝐭 𝐢𝐬 𝐚𝐛𝐨𝐮𝐭 𝐬𝐩𝐞𝐞𝐝.  𝐀 𝐡𝐢𝐠𝐡 𝐝𝐞𝐟𝐞𝐧𝐬𝐢𝐯𝐞 𝐥𝐢𝐧𝐞 𝐚",https://www.instagram.com/reel/DdeXRj-tbKn/,DdeXRj-tbKn
XIDEBATE,F,ig,frontthree_,156696,2026-09-20,176269,5269,207,,,38.2,86657,2.03,1.17,,,NO ATLÉTICO MADRID PLAYERS GET INTO THE REAL MADRID SQUAD 🤯  #soccer #frontthree #football,https://www.instagram.com/reel/DdgbeNkucnG/,DdgbeNkucnG
XIDEBATE,F,tt,planetfutebol,65266,2026-09-11,174833,5418,2544,855,418,56,43273.5,4.04,14.55,4.89,2.39,Man City vs Man Utd combined XI 👀 #futebol #footballtiktok #mcfc #mufc ,https://www.tiktok.com/@planetfutebol/video/7684227954821401878,7684227954821401878
XIDEBATE,F,tt,sportgrid,27986,2026-08-24,98135,7036,197,342,343,60.9,34017,2.88,2.01,3.48,3.5,Odegaard doesn’t make the XI!? 🤯👀 #arsenal #liverpool #saka #football #Soccer ,https://www.tiktok.com/@sportgrid/video/7677563802510003478,7677563802510003478
XIDEBATE,F,tt,goalfanzone,439352,2026-09-18,83738,6911,149,78,233,50.6,37149.0,2.25,1.78,0.93,2.78,"2016 vs 2026 PFA Team of the Year... which team is better, now or then? 🤔 #football #premierleague #soccer",https://www.tiktok.com/@goalfanzone/video/7686825680805350678,7686825680805350678
XIDEBATE,F,tt,ykbpod,86783,2026-09-05,80808,6271,79,61,212,140.1,66671,1.21,0.98,0.75,2.62,ARSENAL VS CHELSEA COMBINED XI 🔥⚽️ IS @futMDM TOO BIASED 👀😭 @jaytalksball  #football #footytiktok #prem #chelsea #arsenal ,https://www.tiktok.com/@ykbpod/video/7682113092511075617,7682113092511075617
XIDEBATE,F,ig,fcplanetfootball,6525,2026-09-11,49236,1143,1076,,,56.0,47301.0,1.04,21.85,,,Man City vs Man Utd combined XI!  #mcfc #mufc #football,https://www.instagram.com/reel/DdJrte7DWCG/,DdJrte7DWCG
XIDEBATE,F,tt,ykbpod,86783,2026-09-18,48483,2643,131,55,111,119.6,66671,0.73,2.7,1.13,2.29,TOTTENHAM VS ASTON VILLA COMBINED XI 🔥⚽️ ARE ASTON VILLA CLEAR 😭🤔 #football #premierleague #spurs #villa #combinedxi  @futMDM ,https://www.tiktok.com/@ykbpod/video/7687011289532615958,7687011289532615958
XIDEBATE,F,ig,goalfanzone,75390,2026-09-18,39520,1095,65,,,50.5,37886.5,1.04,1.64,,,"2016 vs 2026 PFA Team of the Year... which team is better, now or then? 🤔  #football #premierleague #soccer",https://www.instagram.com/reel/DdbQTCIoKpq/,DdbQTCIoKpq
XIDEBATE,F,tt,ykbpod,86783,2026-09-12,36893,2068,43,35,73,141.5,66671,0.55,1.17,0.95,1.98,MANCHESTER DERBY COMBINED XI 🤔⚽️ IS @jaytalksball A UNITED HATER 😭👀 @Hanif  #football #footytiktok #manchesterunited #combinedxi #mancity ,https://www.tiktok.com/@ykbpod/video/7684716316028079393,7684716316028079393
XIDEBATE,F,tt,sportgrid,27986,2026-09-19,23374,796,161,109,34,60.0,34017,0.69,6.89,4.66,1.45,No Palmer or Raya in the squad!? 🤯 #arsenal #chelsea #palmer #football #Soccer ,https://www.tiktok.com/@sportgrid/video/7687260977129082145,7687260977129082145
